ofs,nom,prix_m2_moyen,prix_m2_median,n_annonces,n_reelles,fiabilite
6621,Genève,16812.0,16564.0,85,58,solide (5+)
6612,Chêne-Bougeries,21255.0,17701.0,26,15,solide (5+)
6644,Versoix,13734.0,12436.0,23,11,solide (5+)
6645,Veyrier,11788.0,10850.0,22,19,solide (5+)
6630,Meyrin,10326.0,9577.0,22,16,solide (5+)
6616,Collonge-Bellerive,17245.0,19038.0,19,13,solide (5+)
6623,Le Grand-Saconnex,11583.0,10613.0,18,11,solide (5+)
6617,Cologny,22270.0,18894.0,14,9,solide (5+)
6640,Thônex,12377.0,11225.0,12,10,solide (5+)
6636,Puplinge,10220.0,10745.0,10,8,solide (5+)
6642,Vandoeuvres,18439.0,15737.0,9,7,solide (5+)
6638,Satigny,10755.0,10400.0,9,6,solide (5+)
6633,Plan-les-Ouates,11544.0,10605.0,9,5,solide (5+)
6643,Vernier,10282.0,9522.0,9,5,solide (5+)
6607,Bernex,10489.0,9823.0,9,5,solide (5+)
6610,Céligny,12763.0,12717.0,8,3,indicative (1-4)
6628,Lancy,13844.0,14330.0,8,8,solide (5+)
6602,Anières,19652.0,17944.0,8,3,indicative (1-4)
6635,Presinge,14497.0,13714.0,7,7,solide (5+)
6619,Corsier (GE),15987.0,17139.0,6,2,indicative (1-4)
6632,Perly-Certoux,10543.0,12088.0,5,4,indicative (1-4)
6641,Troinex,13540.0,13284.0,5,5,solide (5+)
6626,Jussy,10678.0,10996.0,5,2,indicative (1-4)
6604,Avusy,8251.0,8387.0,5,3,indicative (1-4)
6605,Bardonnex,7208.0,6122.0,4,3,indicative (1-4)
6622,Genthod,15426.0,13453.0,4,1,indicative (1-4)
6618,Confignon,12607.0,13602.0,4,3,indicative (1-4)
6606,Bellevue,9579.0,10004.0,4,3,indicative (1-4)
6634,Pregny-Chambésy,12539.0,12935.0,4,1,indicative (1-4)
6601,Aire-la-Ville,8901.0,8639.0,4,3,indicative (1-4)
6603,Avully,6410.0,5446.0,3,1,indicative (1-4)
6608,Carouge (GE),14238.0,13949.0,3,1,indicative (1-4)
6631,Onex,12391.0,12288.0,3,2,indicative (1-4)
6614,Choulex,16733.0,9562.0,3,0,annonces (surface estimée)
6613,Chêne-Bourg,15826.0,15737.0,3,3,indicative (1-4)
6629,Meinier,9373.0,9373.0,2,1,indicative (1-4)
6609,Cartigny,10583.0,10583.0,2,1,indicative (1-4)
6637,Russin,8785.0,8785.0,2,1,indicative (1-4)
6620,Dardagny,7649.0,7649.0,2,2,indicative (1-4)
6615,Collex-Bossy,12659.0,12659.0,2,1,indicative (1-4)
6625,Hermance,12168.0,12168.0,1,0,annonces (surface estimée)
6624,Gy,4653.0,4653.0,1,0,annonces (surface estimée)
6639,Soral,4850.0,4850.0,1,1,indicative (1-4)
6611,Chancy,11892.0,11892.0,1,1,indicative (1-4)
6627,Laconnex,10773.0,10773.0,1,0,annonces (surface estimée)
